match_id,date,team1_id,team2_id,ground_id,series_game_number
2025_03_28_1_5,2025_03_28,1,5,1,1
2025_03_28_3_6,2025_03_28,3,6,3,1
2025_03_28_2_4,2025_03_28,2,4,4,1
2025_03_28_8_12,2025_03_28,8,12,12,1
2025_03_28_10_11,2025_03_28,10,11,11,1
2025_03_28_7_9,2025_03_28,7,9,7,1
2025_03_29_1_5,2025_03_29,1,5,1,2
2025_03_29_3_6,2025_03_29,3,6,3,2
2025_03_29_2_4,2025_03_29,2,4,4,2
2025_03_29_8_12,2025_03_29,8,12,12,2
2025_03_29_10_11,2025_03_29,10,11,11,2
2025_03_29_7_9,2025_03_29,7,9,7,2
2025_03_30_1_5,2025_03_30,1,5,1,3
2025_03_30_3_6,2025_03_30,3,6,3,3
2025_03_30_2_4,2025_03_30,2,4,4,3
2025_03_30_8_12,2025_03_30,8,12,12,3
2025_03_30_10_11,2025_03_30,10,11,11,3
2025_03_30_7_9,2025_03_30,7,9,7,3
2025_04_01_1_6,2025_04_01,1,6,6,1
2025_04_01_2_3,2025_04_01,2,3,11,1
2025_04_01_7_8,2025_04_01,7,8,8,1
2025_04_02_4_5,2025_04_02,4,5,5,1
2025_04_02_1_6,2025_04_02,1,6,6,2
2025_04_02_2_3,2025_04_02,2,3,11,2
2025_04_02_7_8,2025_04_02,7,8,8,2
2025_04_02_9_11,2025_04_02,9,11,9,1
2025_04_03_4_5,2025_04_03,4,5,5,2
2025_04_03_1_6,2025_04_03,1,6,6,3
2025_04_03_2_3,2025_04_03,2,3,11,3
2025_04_03_10_12,2025_04_03,10,12,10,1
2025_04_03_9_11,2025_04_03,9,11,9,2
2025_04_04_1_2,2025_04_04,1,2,1,1
2025_04_04_5_6,2025_04_04,5,6,5,1
2025_04_04_3_4,2025_04_04,3,4,4,1
2025_04_04_8_11,2025_04_04,8,11,8,1
2025_04_04_9_10,2025_04_04,9,10,9,1
2025_04_04_7_12,2025_04_04,7,12,7,1
2025_04_05_1_2,2025_04_05,1,2,1,2
2025_04_05_5_6,2025_04_05,5,6,5,2
2025_04_05_3_4,2025_04_05,3,4,4,2
2025_04_05_8_11,2025_04_05,8,11,8,2
2025_04_05_9_10,2025_04_05,9,10,9,2
2025_04_05_7_12,2025_04_05,7,12,7,2
2025_04_06_1_2,2025_04_06,1,2,1,3
2025_04_06_5_6,2025_04_06,5,6,5,3
2025_04_06_3_4,2025_04_06,3,4,4,3
2025_04_06_8_11,2025_04_06,8,11,8,3
2025_04_06_9_10,2025_04_06,9,10,9,3
2025_04_06_7_12,2025_04_06,7,12,7,3
