match_id,inning,top_bottom,batter_id,pitcher_id,score1,score2,batter_number,batting_order,pitcher_order,runner_1b,runner_2b,runner_3b
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,2,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,2,0,2025_5_13,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,2,0,2025_5_00,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,3,0,2025_5_08,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,3,0,2025_5_27,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,3,0,2025_5_18,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,4,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,4,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,4,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,5,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,5,0,2025_5_13,2025_1_20,0,0,2,,,2025_5_02,0,0
2025_03_28_1_5,5,0,2025_5_00,2025_1_20,0,1,3,,,0,2025_5_01,2025_5_02
2025_03_28_1_5,5,0,2025_5_08,2025_1_20,0,1,4,,,2025_5_00,0,2025_5_01
2025_03_28_1_5,5,0,2025_5_27,2025_1_20,0,3,5,,,2025_5_08,2025_5_00,2025_5_01
2025_03_28_1_5,5,0,2025_5_18,2025_1_20,0,3,6,,,2025_5_02,2025_5_08,0
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,2,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,2,0,2025_5_13,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,2,0,2025_5_00,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,3,0,2025_5_08,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,3,0,2025_5_27,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,3,0,2025_5_18,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,4,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,4,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,4,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,5,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,5,0,2025_5_13,2025_1_20,0,0,2,,,2025_5_02,0,0
2025_03_28_1_5,5,0,2025_5_00,2025_1_20,0,1,3,,,0,2025_5_01,2025_5_02
2025_03_28_1_5,5,0,2025_5_08,2025_1_20,0,1,4,,,2025_5_00,0,2025_5_01
2025_03_28_1_5,5,0,2025_5_27,2025_1_20,0,3,5,,,2025_5_08,2025_5_00,2025_5_01
2025_03_28_1_5,5,0,2025_5_18,2025_1_20,0,3,6,,,2025_5_02,2025_5_08,0
2025_03_28_1_5,5,0,2025_5_03,2025_1_20,0,4,7,,,0,2025_5_02,2025_5_08
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,2,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,2,0,2025_5_13,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,2,0,2025_5_00,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,3,0,2025_5_08,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,3,0,2025_5_27,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,3,0,2025_5_18,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,4,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,4,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,4,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,5,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,5,0,2025_5_13,2025_1_20,0,0,2,,,2025_5_02,0,0
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,2,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,2,0,2025_5_13,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,2,0,2025_5_00,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,1,0,2025_5_03,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,1,0,2025_5_64,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,1,0,2025_5_07,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,1,1,2025_1_59,2025_5_18,0,0,1,,,0,0,0
2025_03_28_1_5,1,1,2025_1_13,2025_5_18,0,0,2,,,2025_1_05,0,0
2025_03_28_1_5,1,1,2025_1_02,2025_5_18,0,0,3,,,0,2025_1_01,2025_1_05
2025_03_28_1_5,1,1,2025_1_25,2025_5_18,0,0,4,,,2025_1_02,0,2025_1_01
2025_03_28_1_5,1,1,2025_1_42,2025_5_18,0,0,5,,,2025_1_02,0,2025_1_01
2025_03_28_1_5,2,0,2025_5_25,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,2,0,2025_5_13,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,2,0,2025_5_00,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,2,1,2025_1_06,2025_5_18,0,0,1,,,0,0,0
2025_03_28_1_5,2,1,2025_1_10,2025_5_18,0,0,2,,,0,0,0
2025_03_28_1_5,2,1,2025_1_05,2025_5_18,0,0,3,,,2025_1_01,0,0
2025_03_28_1_5,2,1,2025_1_20,2025_5_18,0,0,4,,,2025_1_05,2025_1_01,0
2025_03_28_1_5,2,1,2025_1_59,2025_5_18,0,0,5,,,2025_1_02,2025_1_05,2025_1_01
2025_03_28_1_5,2,1,2025_1_13,2025_5_18,0,0,6,,,2025_1_02,2025_1_05,2025_1_01
2025_03_28_1_5,3,0,2025_5_08,2025_1_20,0,0,1,,,0,0,0
2025_03_28_1_5,3,0,2025_5_27,2025_1_20,0,0,2,,,0,0,0
2025_03_28_1_5,3,0,2025_5_18,2025_1_20,0,0,3,,,0,0,0
2025_03_28_1_5,3,1,2025_1_02,2025_5_18,0,0,1,,,0,0,0
2025_03_28_1_5,3,1,2025_1_25,2025_5_18,0,0,2,,,0,0,0
