pitch_id,match_id,inning,top_bottom,pitch_type,velocity,result,total_pitch_count,batter_pitch_count,ball_count,strike_count,out_count,coordinate_x,coordinate_y
2025_03_28_1_5,2025_03_28_1_5_1_0_1_1,1,0,ストレート,146,ファウル,1,1,0,1,1,75,84
2025_03_28_1_5,2025_03_28_1_5_1_0_1_2,1,0,スライダー,128,一ゴロ,2,2,0,1,1,101,55
2025_03_28_1_5,2025_03_28_1_5_1_0_2_1,1,0,ストレート,146,二ゴロ,3,1,0,0,2,87,32
2025_03_28_1_5,2025_03_28_1_5_1_0_3_1,1,0,スライダー,131,ボール,4,1,1,0,3,172,10
2025_03_28_1_5,2025_03_28_1_5_1_0_3_2,1,0,ストレート,146,見逃し,5,2,1,1,3,124,88
2025_03_28_1_5,2025_03_28_1_5_1_0_3_3,1,0,スライダー,129,左飛,6,3,1,1,3,45,110
2025_03_28_1_5,2025_03_28_1_5_1_0_1_1,1,0,ストレート,146,ファウル,1,1,0,1,1,75,84
2025_03_28_1_5,2025_03_28_1_5_1_0_1_2,1,0,スライダー,128,一ゴロ,2,2,0,1,1,101,55
2025_03_28_1_5,2025_03_28_1_5_1_0_2_1,1,0,ストレート,146,二ゴロ,3,1,0,0,2,87,32
2025_03_28_1_5,2025_03_28_1_5_1_0_3_1,1,0,スライダー,131,ボール,4,1,1,0,3,172,10
2025_03_28_1_5,2025_03_28_1_5_1_0_3_2,1,0,ストレート,146,見逃し,5,2,1,1,3,124,88
2025_03_28_1_5,2025_03_28_1_5_1_0_3_3,1,0,スライダー,129,左飛,6,3,1,1,3,45,110
2025_03_28_1_5,2025_03_28_1_5_2_0_1_1,2,0,スライダー,125,見逃し,7,1,0,1,1,36,102
2025_03_28_1_5,2025_03_28_1_5_2_0_1_2,2,0,ストレート,145,ボール,8,2,1,1,1,100,120
2025_03_28_1_5,2025_03_28_1_5_2_0_1_3,2,0,ストレート,144,空振り,9,3,1,2,1,87,93
2025_03_28_1_5,2025_03_28_1_5_2_0_1_4,2,0,ストレート,147,ファウル,10,4,1,2,1,100,83
2025_03_28_1_5,2025_03_28_1_5_2_0_1_5,2,0,ストレート,146,ファウル,11,5,1,2,1,136,88
2025_03_28_1_5,2025_03_28_1_5_2_0_1_6,2,0,ストレート,147,ボール,12,6,2,2,1,44,122
2025_03_28_1_5,2025_03_28_1_5_2_0_1_7,2,0,フォーク,135,空三振,13,7,2,2,1,142,54
2025_03_28_1_5,2025_03_28_1_5_2_0_2_1,2,0,フォーク,134,空振り,14,1,0,1,2,109,80
2025_03_28_1_5,2025_03_28_1_5_2_0_2_2,2,0,ストレート,146,ファウル,15,2,0,2,2,74,110
2025_03_28_1_5,2025_03_28_1_5_2_0_2_3,2,0,フォーク,134,ファウル,16,3,0,2,2,76,93
2025_03_28_1_5,2025_03_28_1_5_2_0_2_4,2,0,フォーク,134,ボール,17,4,1,2,2,173,72
2025_03_28_1_5,2025_03_28_1_5_2_0_2_5,2,0,スライダー,131,ボール,18,5,2,2,2,140,15
2025_03_28_1_5,2025_03_28_1_5_2_0_2_6,2,0,ストレート,148,二ゴロ,19,6,2,2,2,119,20
2025_03_28_1_5,2025_03_28_1_5_2_0_3_1,2,0,ストレート,147,ボール,20,1,1,0,3,21,12
2025_03_28_1_5,2025_03_28_1_5_2_0_3_2,2,0,ストレート,146,遊飛,21,2,1,0,3,111,34
2025_03_28_1_5,2025_03_28_1_5_3_0_1_1,3,0,ストレート,144,中飛,22,1,0,0,1,90,108
2025_03_28_1_5,2025_03_28_1_5_3_0_2_1,3,0,ストレート,143,見逃し,23,1,0,1,2,122,24
2025_03_28_1_5,2025_03_28_1_5_3_0_2_2,3,0,ストレート,145,ファウル,24,2,0,2,2,24,54
2025_03_28_1_5,2025_03_28_1_5_3_0_2_3,3,0,ストレート,144,右飛,25,3,0,2,2,148,69
2025_03_28_1_5,2025_03_28_1_5_3_0_3_1,3,0,ストレート,145,見逃し,26,1,0,1,3,134,25
2025_03_28_1_5,2025_03_28_1_5_3_0_3_2,3,0,ストレート,144,ボール,27,2,1,1,3,105,8
2025_03_28_1_5,2025_03_28_1_5_3_0_3_3,3,0,ストレート,145,見逃し,28,3,1,2,3,116,25
2025_03_28_1_5,2025_03_28_1_5_3_0_3_4,3,0,フォーク,134,ファウル,29,4,1,2,3,152,40
2025_03_28_1_5,2025_03_28_1_5_3_0_3_5,3,0,フォーク,133,二邪飛,30,5,1,2,3,147,65
2025_03_28_1_5,2025_03_28_1_5_4_0_1_1,4,0,スライダー,-,ボール,31,1,1,0,1,85,128
2025_03_28_1_5,2025_03_28_1_5_4_0_1_2,4,0,ストレート,143,二ゴロ,32,2,1,0,1,45,68
2025_03_28_1_5,2025_03_28_1_5_4_0_2_1,4,0,ストレート,145,ボール,33,1,1,0,2,20,120
2025_03_28_1_5,2025_03_28_1_5_4_0_2_2,4,0,ストレート,144,見逃し,34,2,1,1,2,69,113
2025_03_28_1_5,2025_03_28_1_5_4_0_2_3,4,0,フォーク,133,ボール,35,3,2,1,2,173,92
2025_03_28_1_5,2025_03_28_1_5_4_0_2_4,4,0,ストレート,144,三ゴロ,36,4,2,1,2,44,94
2025_03_28_1_5,2025_03_28_1_5_4_0_3_1,4,0,カーブ,123,見逃し,37,1,0,1,3,126,112
2025_03_28_1_5,2025_03_28_1_5_4_0_3_2,4,0,ストレート,146,二ゴロ,38,2,0,1,3,33,72
2025_03_28_1_5,2025_03_28_1_5_5_0_1_1,5,0,カーブ,121,左安,39,1,0,0,0,51,72
2025_03_28_1_5,2025_03_28_1_5_5_0_2_1,5,0,フォーク,131,ボール,40,1,1,0,0,154,20
2025_03_28_1_5,2025_03_28_1_5_5_0_2_2,5,0,フォーク,130,見逃し,41,2,1,1,0,135,30
2025_03_28_1_5,2025_03_28_1_5_5_0_2_3,5,0,ストレート,145,一失,42,3,1,1,0,44,25
2025_03_28_1_5,2025_03_28_1_5_5_0_3_1,5,0,ストレート,145,左安,43,1,0,0,0,125,56
2025_03_28_1_5,2025_03_28_1_5_5_0_4_1,5,0,ストレート,146,ボール,44,1,1,0,0,155,30
2025_03_28_1_5,2025_03_28_1_5_5_0_4_2,5,0,フォーク,134,空振り,45,2,1,1,0,156,84
2025_03_28_1_5,2025_03_28_1_5_5_0_4_3,5,0,ストレート,146,ボール,46,3,2,1,0,56,14
2025_03_28_1_5,2025_03_28_1_5_5_0_4_4,5,0,ストレート,147,ファウル,47,4,2,2,0,69,112
2025_03_28_1_5,2025_03_28_1_5_5_0_4_5,5,0,フォーク,133,ボール,48,5,3,2,0,159,108
2025_03_28_1_5,2025_03_28_1_5_5_0_4_6,5,0,フォーク,133,ファウル,49,6,3,2,0,148,77
2025_03_28_1_5,2025_03_28_1_5_5_0_4_7,5,0,フォーク,133,四球,50,7,3,2,0,173,39
2025_03_28_1_5,2025_03_28_1_5_5_0_5_1,5,0,スライダー,128,ボール,51,1,1,0,0,22,119
2025_03_28_1_5,2025_03_28_1_5_5_0_5_2,5,0,スライダー,129,ボール,52,2,2,0,0,96,123
2025_03_28_1_5,2025_03_28_1_5_5_0_5_3,5,0,ストレート,148,中安,53,3,2,0,0,126,62
2025_03_28_1_5,2025_03_28_1_5_5_0_6_1,5,0,ストレート,145,ボール,54,1,1,0,1,159,19
2025_03_28_1_5,2025_03_28_1_5_5_0_6_2,5,0,ストレート,145,一犠打,55,2,1,0,1,25,78
2025_03_28_1_5,2025_03_28_1_5_1_0_1_1,1,0,ストレート,146,ファウル,1,1,0,1,1,75,84
